region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Piauí,2020-04-04,nowcast,1.6,1,2.3,1.3,1.8,0.03
Piauí,2020-04-05,nowcast,1.6,1,2.2,1.3,1.8,0.04
Piauí,2020-04-06,nowcast,1.6,1,2.2,1.3,1.7,0.02
Piauí,2020-04-07,nowcast,1.6,1,2.2,1.3,1.7,0.03
Piauí,2020-04-08,nowcast,1.6,1.1,2.2,1.4,1.8,0.02
Piauí,2020-04-09,nowcast,1.6,1.1,2.1,1.3,1.7,0.02
Piauí,2020-04-10,nowcast,1.6,1.1,2,1.3,1.7,0.01
Piauí,2020-04-11,nowcast,1.5,1.1,2,1.3,1.7,0.01
Piauí,2020-04-12,nowcast,1.5,1.1,1.9,1.3,1.6,0.02
Piauí,2020-04-13,nowcast,1.5,1.1,1.9,1.3,1.6,0.02
Piauí,2020-04-14,nowcast,1.4,1.1,1.8,1.3,1.6,0.01
Piauí,2020-04-15,nowcast,1.4,1.1,1.8,1.3,1.5,0.01
Piauí,2020-04-16,nowcast,1.4,1.1,1.8,1.3,1.5,0.01
Piauí,2020-04-17,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Piauí,2020-04-18,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Piauí,2020-04-19,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Piauí,2020-04-20,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
Piauí,2020-04-21,nowcast,1.4,1.1,1.6,1.3,1.4,0
Piauí,2020-04-22,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
Piauí,2020-04-23,nowcast,1.3,1.1,1.6,1.3,1.4,0.01
Piauí,2020-04-24,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Piauí,2020-04-25,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Piauí,2020-04-26,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Piauí,2020-04-27,nowcast,1.3,1.1,1.5,1.2,1.3,0.02
Piauí,2020-04-28,nowcast,1.2,1.1,1.4,1.2,1.3,0.02
Piauí,2020-04-29,nowcast,1.2,1.1,1.4,1.2,1.3,0.02
Piauí,2020-04-30,nowcast,1.2,1.1,1.4,1.2,1.3,0.02
Piauí,2020-05-01,nowcast,1.2,1.1,1.4,1.2,1.3,0.02
Piauí,2020-05-02,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-03,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-04,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-05,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-06,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-07,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-08,nowcast,1.2,1.1,1.4,1.2,1.3,0
Piauí,2020-05-09,nowcast,1.2,1.1,1.4,1.2,1.3,0
Piauí,2020-05-10,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Piauí,2020-05-11,nowcast,1.2,1.1,1.3,1.1,1.3,0.01
Piauí,2020-05-12,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Piauí,2020-05-13,nowcast,1.2,1,1.3,1.1,1.2,0.01
Piauí,2020-05-14,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Piauí,2020-05-15,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Piauí,2020-05-16,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Piauí,2020-05-17,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Piauí,2020-05-18,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Piauí,2020-05-19,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-05-20,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-05-21,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-05-22,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-05-23,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-24,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-25,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-26,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-27,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-28,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-29,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-05-30,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-05-31,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-06-01,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-02,nowcast,1.1,1.1,1.2,1.1,1.2,0.01
Piauí,2020-06-03,nowcast,1.1,1.1,1.2,1.1,1.2,0.01
Piauí,2020-06-04,nowcast,1.1,1.1,1.2,1.1,1.2,0
Piauí,2020-06-05,nowcast,1.1,1.1,1.2,1.1,1.2,0
Piauí,2020-06-06,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-07,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-08,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-09,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-10,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-06-11,nowcast,1.2,1.1,1.3,1.1,1.2,0
Piauí,2020-06-12,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-06-13,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-06-14,nowcast,1.2,1.1,1.3,1.2,1.2,0
Piauí,2020-06-15,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-16,nowcast,1.2,1.1,1.2,1.1,1.2,0
Piauí,2020-06-17,nowcast,1.1,1.1,1.2,1.1,1.2,0
Piauí,2020-06-18,nowcast,1.1,1.1,1.2,1.1,1.2,0
Piauí,2020-06-19,nowcast,1.1,1.1,1.2,1.1,1.2,0
Piauí,2020-06-20,nowcast,1.1,1.1,1.2,1.1,1.2,0
Piauí,2020-06-21,nowcast,1.1,1.1,1.2,1.1,1.1,0
Piauí,2020-06-22,nowcast,1.1,1,1.2,1.1,1.1,0
Piauí,2020-06-23,nowcast,1.1,1,1.2,1.1,1.1,0
Piauí,2020-06-24,nowcast,1.1,1,1.2,1.1,1.1,0
Piauí,2020-06-25,nowcast,1.1,1,1.2,1.1,1.1,0
Piauí,2020-06-26,nowcast,1.1,1,1.1,1.1,1.1,0.01
Piauí,2020-06-27,nowcast,1.1,1,1.1,1.1,1.1,0.03
Piauí,2020-06-28,nowcast,1,1,1.1,1,1.1,0.09
Piauí,2020-06-29,nowcast,1,1,1.1,1,1,0.29
Piauí,2020-06-30,nowcast,1,0.9,1.1,1,1,0.44
Piauí,2020-07-01,nowcast,1,0.9,1.1,1,1,0.46
Piauí,2020-07-02,nowcast,1,1,1,1,1,0.43
Piauí,2020-07-03,nowcast,1,1,1.1,1,1,0.39
Piauí,2020-07-04,nowcast,1,1,1,1,1,0.43
Piauí,2020-07-05,nowcast,1,1,1,1,1,0.56
Piauí,2020-07-06,nowcast,1,0.9,1,1,1,0.76
Piauí,2020-07-07,nowcast,1,0.9,1,1,1,0.89
Piauí,2020-07-08,nowcast,1,0.9,1,0.9,1,0.94
Piauí,2020-07-09,nowcast,1,0.9,1,1,1,0.92
Piauí,2020-07-10,nowcast,1,0.9,1,1,1,0.84
Piauí,2020-07-11,nowcast,1,0.9,1,1,1,0.77
Piauí,2020-07-12,nowcast,1,0.9,1,1,1,0.79
Piauí,2020-07-13,forecast,1,0.9,1,0.9,1,0.73
Piauí,2020-07-14,forecast,1,0.9,1.1,0.9,1,0.71
Piauí,2020-07-15,forecast,1,0.9,1.1,0.9,1,0.7
Piauí,2020-07-16,forecast,1,0.9,1.1,0.9,1,0.68
Piauí,2020-07-17,forecast,1,0.9,1.1,0.9,1,0.7
Piauí,2020-07-18,forecast,1,0.8,1.1,0.9,1,0.69
Piauí,2020-07-19,forecast,1,0.8,1.1,0.9,1,0.69
Piauí,2020-07-20,forecast,1,0.8,1.1,0.9,1,0.69
Piauí,2020-07-21,forecast,1,0.8,1.1,0.9,1,0.68
Piauí,2020-07-22,forecast,1,0.8,1.1,0.9,1,0.69
Piauí,2020-07-23,forecast,1,0.8,1.1,0.9,1,0.69
Piauí,2020-07-24,forecast,1,0.8,1.1,0.9,1,0.67
Piauí,2020-07-25,forecast,1,0.8,1.1,0.9,1,0.68
Piauí,2020-07-26,forecast,1,0.8,1.1,0.9,1,0.67
Rio de Janeiro,2020-03-10,nowcast,1.7,1.3,2.3,1.5,1.9,0
Rio de Janeiro,2020-03-11,nowcast,1.7,1.2,2.2,1.5,1.9,0
Rio de Janeiro,2020-03-12,nowcast,1.7,1.3,2.2,1.5,1.8,0
Rio de Janeiro,2020-03-13,nowcast,1.7,1.2,2.1,1.5,1.8,0
Rio de Janeiro,2020-03-14,nowcast,1.7,1.3,2.1,1.5,1.8,0
Rio de Janeiro,2020-03-15,nowcast,1.6,1.3,2,1.4,1.7,0
Rio de Janeiro,2020-03-16,nowcast,1.6,1.2,1.9,1.4,1.7,0
Rio de Janeiro,2020-03-17,nowcast,1.5,1.2,1.9,1.4,1.6,0
Rio de Janeiro,2020-03-18,nowcast,1.5,1.2,1.8,1.4,1.6,0
Rio de Janeiro,2020-03-19,nowcast,1.5,1.2,1.7,1.3,1.5,0
Rio de Janeiro,2020-03-20,nowcast,1.4,1.2,1.7,1.3,1.5,0
Rio de Janeiro,2020-03-21,nowcast,1.4,1.2,1.7,1.3,1.5,0
Rio de Janeiro,2020-03-22,nowcast,1.4,1.2,1.6,1.3,1.5,0
Rio de Janeiro,2020-03-23,nowcast,1.4,1.2,1.6,1.3,1.4,0
Rio de Janeiro,2020-03-24,nowcast,1.4,1.2,1.6,1.3,1.4,0
Rio de Janeiro,2020-03-25,nowcast,1.4,1.2,1.6,1.3,1.4,0
Rio de Janeiro,2020-03-26,nowcast,1.4,1.2,1.6,1.3,1.4,0
Rio de Janeiro,2020-03-27,nowcast,1.4,1.2,1.5,1.3,1.4,0
Rio de Janeiro,2020-03-28,nowcast,1.4,1.2,1.6,1.3,1.4,0
Rio de Janeiro,2020-03-29,nowcast,1.4,1.2,1.5,1.3,1.4,0
Rio de Janeiro,2020-03-30,nowcast,1.3,1.2,1.5,1.3,1.4,0
Rio de Janeiro,2020-03-31,nowcast,1.3,1.2,1.5,1.3,1.4,0
Rio de Janeiro,2020-04-01,nowcast,1.3,1.2,1.5,1.2,1.4,0
Rio de Janeiro,2020-04-02,nowcast,1.3,1.1,1.4,1.2,1.4,0
Rio de Janeiro,2020-04-03,nowcast,1.3,1.1,1.4,1.2,1.3,0
Rio de Janeiro,2020-04-04,nowcast,1.3,1.1,1.4,1.2,1.3,0
Rio de Janeiro,2020-04-05,nowcast,1.2,1.1,1.4,1.2,1.3,0
Rio de Janeiro,2020-04-06,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-07,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Rio de Janeiro,2020-04-08,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Rio de Janeiro,2020-04-09,nowcast,1.2,1,1.3,1.1,1.2,0.01
Rio de Janeiro,2020-04-10,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Rio de Janeiro,2020-04-11,nowcast,1.2,1.1,1.2,1.1,1.2,0
Rio de Janeiro,2020-04-12,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio de Janeiro,2020-04-13,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio de Janeiro,2020-04-14,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio de Janeiro,2020-04-15,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio de Janeiro,2020-04-16,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-17,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-18,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-19,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-20,nowcast,1.2,1.2,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-21,nowcast,1.2,1.2,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-22,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-23,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-24,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-04-25,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-26,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-27,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-28,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-29,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-04-30,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-01,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-02,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-03,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-04,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-05,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-06,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-07,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-08,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-05-09,nowcast,1.2,1.2,1.3,1.2,1.3,0
Rio de Janeiro,2020-05-10,nowcast,1.3,1.2,1.4,1.2,1.3,0
Rio de Janeiro,2020-05-11,nowcast,1.3,1.2,1.4,1.3,1.3,0
Rio de Janeiro,2020-05-12,nowcast,1.3,1.2,1.4,1.2,1.3,0
Rio de Janeiro,2020-05-13,nowcast,1.3,1.2,1.4,1.2,1.3,0
Rio de Janeiro,2020-05-14,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio de Janeiro,2020-05-15,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio de Janeiro,2020-05-16,nowcast,1.1,1.1,1.2,1.1,1.2,0
Rio de Janeiro,2020-05-17,nowcast,1.1,1,1.2,1.1,1.1,0.01
Rio de Janeiro,2020-05-18,nowcast,1.1,1,1.1,1.1,1.1,0.02
Rio de Janeiro,2020-05-19,nowcast,1.1,1,1.1,1.1,1.1,0.01
Rio de Janeiro,2020-05-20,nowcast,1.1,1,1.1,1.1,1.1,0
Rio de Janeiro,2020-05-21,nowcast,1.1,1,1.1,1.1,1.1,0
Rio de Janeiro,2020-05-22,nowcast,1.1,1,1.1,1.1,1.1,0
Rio de Janeiro,2020-05-23,nowcast,1.1,1,1.1,1,1.1,0
Rio de Janeiro,2020-05-24,nowcast,1.1,1,1.1,1,1.1,0.02
Rio de Janeiro,2020-05-25,nowcast,1,1,1.1,1,1.1,0.07
Rio de Janeiro,2020-05-26,nowcast,1,1,1.1,1,1,0.25
Rio de Janeiro,2020-05-27,nowcast,1,0.9,1,1,1,0.65
Rio de Janeiro,2020-05-28,nowcast,1,0.9,1,1,1,0.9
Rio de Janeiro,2020-05-29,nowcast,1,0.9,1,0.9,1,0.95
Rio de Janeiro,2020-05-30,nowcast,1,0.9,1,1,1,0.92
Rio de Janeiro,2020-05-31,nowcast,1,0.9,1,1,1,0.89
Rio de Janeiro,2020-06-01,nowcast,1,0.9,1,1,1,0.87
Rio de Janeiro,2020-06-02,nowcast,1,0.9,1,1,1,0.86
Rio de Janeiro,2020-06-03,nowcast,1,1,1,1,1,0.87
Rio de Janeiro,2020-06-04,nowcast,1,0.9,1,1,1,0.92
Rio de Janeiro,2020-06-05,nowcast,1,0.9,1,1,1,0.94
Rio de Janeiro,2020-06-06,nowcast,1,0.9,1,1,1,0.96
Rio de Janeiro,2020-06-07,nowcast,1,0.9,1,1,1,0.94
Rio de Janeiro,2020-06-08,nowcast,1,0.9,1,1,1,0.83
Rio de Janeiro,2020-06-09,nowcast,1,1,1,1,1,0.5
Rio de Janeiro,2020-06-10,nowcast,1,1,1.1,1,1.1,0.12
Rio de Janeiro,2020-06-11,nowcast,1.1,1,1.1,1,1.1,0.02
Rio de Janeiro,2020-06-12,nowcast,1.1,1,1.1,1,1.1,0.01
Rio de Janeiro,2020-06-13,nowcast,1.1,1,1.1,1,1.1,0.01
Rio de Janeiro,2020-06-14,nowcast,1,1,1.1,1,1.1,0.04
Rio de Janeiro,2020-06-15,nowcast,1,1,1.1,1,1,0.3
Rio de Janeiro,2020-06-16,nowcast,1,0.9,1,1,1,0.78
Rio de Janeiro,2020-06-17,nowcast,0.9,0.9,1,0.9,1,0.98
Rio de Janeiro,2020-06-18,nowcast,0.9,0.9,1,0.9,0.9,1
Rio de Janeiro,2020-06-19,nowcast,0.9,0.9,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-20,nowcast,0.9,0.9,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-21,nowcast,0.9,0.8,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-22,nowcast,0.9,0.8,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-23,nowcast,0.9,0.8,0.9,0.8,0.9,1
Rio de Janeiro,2020-06-24,nowcast,0.9,0.8,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-25,nowcast,0.9,0.8,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-26,nowcast,0.9,0.8,0.9,0.9,0.9,1
Rio de Janeiro,2020-06-27,nowcast,0.9,0.9,1,0.9,0.9,0.99
Rio de Janeiro,2020-06-28,nowcast,0.9,0.9,1,0.9,1,0.98
Rio de Janeiro,2020-06-29,nowcast,0.9,0.9,1,0.9,1,0.98
Rio de Janeiro,2020-06-30,nowcast,0.9,0.9,1,0.9,0.9,0.99
Rio de Janeiro,2020-07-01,nowcast,0.9,0.9,1,0.9,1,0.99
Rio de Janeiro,2020-07-02,nowcast,0.9,0.9,1,0.9,1,0.99
Rio de Janeiro,2020-07-03,nowcast,0.9,0.9,1,0.9,1,0.96
Rio de Janeiro,2020-07-04,nowcast,1,0.9,1,0.9,1,0.92
Rio de Janeiro,2020-07-05,nowcast,1,0.9,1,0.9,1,0.83
Rio de Janeiro,2020-07-06,nowcast,1,0.9,1,0.9,1,0.75
Rio de Janeiro,2020-07-07,nowcast,1,0.9,1.1,1,1,0.55
Rio de Janeiro,2020-07-08,nowcast,1,0.9,1.1,1,1.1,0.24
Rio de Janeiro,2020-07-09,nowcast,1.1,1,1.2,1.1,1.2,0.03
Rio de Janeiro,2020-07-10,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio de Janeiro,2020-07-11,nowcast,1.3,1.2,1.4,1.2,1.3,0
Rio de Janeiro,2020-07-12,nowcast,1.3,1.2,1.4,1.3,1.4,0
Rio de Janeiro,2020-07-13,forecast,1.4,1.2,1.5,1.3,1.4,0
Rio de Janeiro,2020-07-14,forecast,1.4,1.2,1.6,1.3,1.5,0
Rio de Janeiro,2020-07-15,forecast,1.4,1.2,1.7,1.4,1.5,0
Rio de Janeiro,2020-07-16,forecast,1.5,1.2,1.7,1.4,1.6,0
Rio de Janeiro,2020-07-17,forecast,1.5,1.2,1.8,1.4,1.6,0
Rio de Janeiro,2020-07-18,forecast,1.5,1.2,1.9,1.4,1.6,0
Rio de Janeiro,2020-07-19,forecast,1.6,1.2,2,1.4,1.7,0
Rio de Janeiro,2020-07-20,forecast,1.6,1.1,2.1,1.4,1.8,0.01
Rio de Janeiro,2020-07-21,forecast,1.6,1.1,2.2,1.4,1.8,0.01
Rio de Janeiro,2020-07-22,forecast,1.6,1.1,2.2,1.4,1.8,0.01
Rio de Janeiro,2020-07-23,forecast,1.7,1.1,2.3,1.3,1.8,0.02
Rio de Janeiro,2020-07-24,forecast,1.7,1,2.4,1.3,1.9,0.03
Rio de Janeiro,2020-07-25,forecast,1.7,1,2.6,1.3,1.9,0.03
Rio de Janeiro,2020-07-26,forecast,1.7,1.1,2.7,1.3,2,0.03
Rio Grande do Norte,2020-03-20,nowcast,1.6,1,2.4,1.3,1.8,0.03
Rio Grande do Norte,2020-03-21,nowcast,1.6,1,2.3,1.3,1.8,0.04
Rio Grande do Norte,2020-03-22,nowcast,1.6,1,2.1,1.3,1.8,0.03
Rio Grande do Norte,2020-03-23,nowcast,1.5,1,2.1,1.3,1.7,0.03
Rio Grande do Norte,2020-03-24,nowcast,1.5,1,2,1.2,1.6,0.04
Rio Grande do Norte,2020-03-25,nowcast,1.4,1,1.9,1.2,1.6,0.05
Rio Grande do Norte,2020-03-26,nowcast,1.4,0.9,1.8,1.2,1.6,0.06
Rio Grande do Norte,2020-03-27,nowcast,1.3,1,1.7,1.2,1.5,0.07
Rio Grande do Norte,2020-03-28,nowcast,1.3,0.9,1.7,1.1,1.4,0.09
Rio Grande do Norte,2020-03-29,nowcast,1.3,0.9,1.6,1.1,1.4,0.1
Rio Grande do Norte,2020-03-30,nowcast,1.2,0.9,1.6,1.1,1.3,0.13
Rio Grande do Norte,2020-03-31,nowcast,1.2,0.8,1.5,1,1.3,0.17
Rio Grande do Norte,2020-04-01,nowcast,1.1,0.8,1.4,1,1.2,0.23
Rio Grande do Norte,2020-04-02,nowcast,1.1,0.8,1.4,1,1.2,0.3
Rio Grande do Norte,2020-04-03,nowcast,1.1,0.8,1.4,1,1.2,0.28
Rio Grande do Norte,2020-04-04,nowcast,1.1,0.8,1.4,1,1.2,0.24
Rio Grande do Norte,2020-04-05,nowcast,1.2,0.9,1.5,1,1.2,0.15
Rio Grande do Norte,2020-04-06,nowcast,1.2,0.9,1.5,1.1,1.3,0.08
Rio Grande do Norte,2020-04-07,nowcast,1.3,1,1.6,1.1,1.3,0.04
Rio Grande do Norte,2020-04-08,nowcast,1.3,1,1.6,1.1,1.4,0.03
Rio Grande do Norte,2020-04-09,nowcast,1.3,1,1.6,1.1,1.4,0.02
Rio Grande do Norte,2020-04-10,nowcast,1.3,1,1.6,1.2,1.4,0.03
Rio Grande do Norte,2020-04-11,nowcast,1.3,1,1.5,1.2,1.4,0.04
Rio Grande do Norte,2020-04-12,nowcast,1.3,1,1.5,1.1,1.3,0.05
Rio Grande do Norte,2020-04-13,nowcast,1.2,1,1.5,1.2,1.4,0.05
Rio Grande do Norte,2020-04-14,nowcast,1.2,1,1.5,1.1,1.3,0.04
Rio Grande do Norte,2020-04-15,nowcast,1.2,1,1.4,1.1,1.3,0.06
Rio Grande do Norte,2020-04-16,nowcast,1.2,1,1.4,1.1,1.3,0.04
Rio Grande do Norte,2020-04-17,nowcast,1.2,1,1.5,1.1,1.3,0.04
Rio Grande do Norte,2020-04-18,nowcast,1.2,1,1.5,1.2,1.3,0.03
Rio Grande do Norte,2020-04-19,nowcast,1.2,1.1,1.5,1.2,1.3,0.01
Rio Grande do Norte,2020-04-20,nowcast,1.3,1.1,1.5,1.2,1.3,0.01
Rio Grande do Norte,2020-04-21,nowcast,1.3,1.1,1.5,1.2,1.3,0.01
Rio Grande do Norte,2020-04-22,nowcast,1.3,1.1,1.5,1.2,1.3,0.01
Rio Grande do Norte,2020-04-23,nowcast,1.3,1.1,1.5,1.2,1.3,0.01
Rio Grande do Norte,2020-04-24,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Rio Grande do Norte,2020-04-25,nowcast,1.2,1,1.4,1.2,1.3,0.02
Rio Grande do Norte,2020-04-26,nowcast,1.2,1,1.4,1.1,1.3,0.05
Rio Grande do Norte,2020-04-27,nowcast,1.2,1,1.3,1.1,1.2,0.07
Rio Grande do Norte,2020-04-28,nowcast,1.2,1,1.3,1.1,1.2,0.08
Rio Grande do Norte,2020-04-29,nowcast,1.2,1,1.3,1.1,1.2,0.05
Rio Grande do Norte,2020-04-30,nowcast,1.2,1,1.4,1.1,1.2,0.03
Rio Grande do Norte,2020-05-01,nowcast,1.2,1,1.4,1.1,1.2,0.01
Rio Grande do Norte,2020-05-02,nowcast,1.2,1.1,1.4,1.1,1.3,0
Rio Grande do Norte,2020-05-03,nowcast,1.2,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-04,nowcast,1.3,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-05,nowcast,1.3,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-06,nowcast,1.3,1.2,1.5,1.2,1.4,0
Rio Grande do Norte,2020-05-07,nowcast,1.3,1.2,1.5,1.3,1.4,0
Rio Grande do Norte,2020-05-08,nowcast,1.3,1.2,1.5,1.3,1.4,0
Rio Grande do Norte,2020-05-09,nowcast,1.3,1.2,1.5,1.2,1.4,0
Rio Grande do Norte,2020-05-10,nowcast,1.3,1.2,1.4,1.2,1.4,0
Rio Grande do Norte,2020-05-11,nowcast,1.3,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-12,nowcast,1.3,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-13,nowcast,1.2,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-14,nowcast,1.2,1.1,1.4,1.2,1.3,0
Rio Grande do Norte,2020-05-15,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio Grande do Norte,2020-05-16,nowcast,1.2,1.1,1.3,1.2,1.3,0
Rio Grande do Norte,2020-05-17,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio Grande do Norte,2020-05-18,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio Grande do Norte,2020-05-19,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio Grande do Norte,2020-05-20,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio Grande do Norte,2020-05-21,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio Grande do Norte,2020-05-22,nowcast,1.2,1.1,1.3,1.2,1.2,0
Rio Grande do Norte,2020-05-23,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio Grande do Norte,2020-05-24,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio Grande do Norte,2020-05-25,nowcast,1.1,1,1.2,1.1,1.2,0.01
Rio Grande do Norte,2020-05-26,nowcast,1.1,1,1.2,1.1,1.2,0.03
Rio Grande do Norte,2020-05-27,nowcast,1.1,1,1.2,1.1,1.1,0.07
Rio Grande do Norte,2020-05-28,nowcast,1.1,1,1.2,1,1.1,0.1
Rio Grande do Norte,2020-05-29,nowcast,1.1,1,1.1,1.1,1.1,0.07
Rio Grande do Norte,2020-05-30,nowcast,1.1,1,1.2,1.1,1.1,0.03
Rio Grande do Norte,2020-05-31,nowcast,1.1,1,1.2,1.1,1.1,0.01
Rio Grande do Norte,2020-06-01,nowcast,1.1,1,1.2,1.1,1.1,0
Rio Grande do Norte,2020-06-02,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio Grande do Norte,2020-06-03,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio Grande do Norte,2020-06-04,nowcast,1.2,1.1,1.3,1.1,1.2,0
Rio Grande do Norte,2020-06-05,nowcast,1.2,1.1,1.2,1.1,1.2,0
Rio Grande do Norte,2020-06-06,nowcast,1.2,1.1,1.2,1.1,1.2,0
Rio Grande do Norte,2020-06-07,nowcast,1.1,1.1,1.2,1.1,1.2,0.01
